Дата и время      	Тип события	Описание
18.07.2020 6:49:58	Аудит      	Просмотр камеры "132.Общ. №10-Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:58	Аудит      	Устройство "120.Общежитие 5 - Лица" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:57	Аудит      	Тревога оценена на устройстве "120.Общежитие 5 - Лица" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:51	Аудит      	Просмотр камеры "120.Общежитие 5 - Лица" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:49	Аудит      	Устройство "17.Бизнес инкубатор левая часть вход" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:49	Аудит      	Тревога оценена на устройстве "17.Бизнес инкубатор левая часть вход" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:49	Аудит      	Просмотр камеры "17.Бизнес инкубатор левая часть вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:49	Аудит      	Устройство "99.Общ.№6 дача Сталина" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:48	Аудит      	Тревога оценена на устройстве "99.Общ.№6 дача Сталина" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:40	Аудит      	Просмотр камеры "99.Общ.№6 дача Сталина" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:40	Аудит      	Устройство "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:39	Аудит      	Тревога оценена на устройстве "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:39	Аудит      	Просмотр камеры "131.Общ.№ 10 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:39	Аудит      	Устройство "58.Гл. корпус - 2 этаж переход физмат" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:38	Аудит      	Тревога оценена на устройстве "58.Гл. корпус - 2 этаж переход физмат" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:34	Аудит      	Просмотр камеры "58.Гл. корпус - 2 этаж переход физмат" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:29	Аудит      	Устройство "129.СГИ - Центральный вход" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:29	Аудит      	Тревога оценена на устройстве "129.СГИ - Центральный вход" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:29	Аудит      	Просмотр камеры "129.СГИ - Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:29	Аудит      	Устройство "126.Мед. Колл. -1 этаж  холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:28	Аудит      	Тревога оценена на устройстве "126.Мед. Колл. -1 этаж  холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:28	Аудит      	Просмотр камеры "126.Мед. Колл. -1 этаж  холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:28	Аудит      	Устройство "178.ИТФ - Модуль" сервера "KBGU-AXXON-3": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:27	Аудит      	Тревога оценена на устройстве "178.ИТФ - Модуль" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:27	Аудит      	Просмотр камеры "178.ИТФ - Модуль" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:27	Аудит      	Устройство "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:26	Аудит      	Тревога оценена на устройстве "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:26	Аудит      	Просмотр камеры "21.МедКолледж новый - Холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:26	Аудит      	Устройство "57.Гл. корпус - 2 этаж холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:26	Аудит      	Тревога оценена на устройстве "57.Гл. корпус - 2 этаж холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:26	Аудит      	Просмотр камеры "57.Гл. корпус - 2 этаж холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:26	Аудит      	Устройство "112.Медфак ул.И Арманд Лица" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:25	Аудит      	Тревога оценена на устройстве "112.Медфак ул.И Арманд Лица" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:14	Аудит      	Просмотр камеры "112.Медфак ул.И Арманд Лица" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
